Ref,Name,Category,Address,Days,Hours,Number of Reviews,Rating,Excellent,Very Good,Average,Poor,Terrible,Certified,Latitude,Longitude
/Attraction_Review-g303631-d4377514-Reviews-Museu_de_Geociencias_da_USP-Sao_Paulo_State_of_Sao_Paulo.html,Museu de Geociências da USP,Museus de ciência,"Rua do Lago, 562 | Cidade Universitária, São Paulo, Estado de São Paulo 05508-080, Brasil",,,15.0,"4,0",48%,26%,26%,0%,0%,False,-23.56191,-46.72817
/Attraction_Review-g303631-d7262508-Reviews-Templo_Quan_Inn-Sao_Paulo_State_of_Sao_Paulo.html,Templo Quan-Inn,Pontos de interesse,"Rua Rio Sao Nicolau 328 672, São Paulo, Estado de São Paulo 04858-630, Brasil",,,14.0,"4,0",37%,21%,35%,7%,0%,False,-23.77906,-46.70292
/Attraction_Review-g303631-d8639535-Reviews-Vila_Itororo-Sao_Paulo_State_of_Sao_Paulo.html,Vila Itororó,Locais históricos,"Rua Pedroso 238, São Paulo, Estado de São Paulo 01322-010, Brasil",,,16.0,"4,0",25%,57%,12%,6%,0%,False,-23.56259,-46.64091
/Attraction_Review-g303631-d4127101-Reviews-Oficina_Theater-Sao_Paulo_State_of_Sao_Paulo.html,Teatro Oficina,Teatros,"Rua Jaceguai 520, São Paulo, Estado de São Paulo 01315-010, Brasil",,,27.0,"5,0",89%,11%,0%,0%,0%,False,-23.55526,-46.64122
/Attraction_Review-g303631-d17694716-Reviews-Cervejaria_Kinke-Sao_Paulo_State_of_Sao_Paulo.html,Cervejaria Kinke,Cervejarias,"Rua Venâncio Aires, 1091 | Pompeia, São Paulo, Estado de São Paulo 05024-030, Brasil",Dom,14:00 - 19:30,17.0,"5,0",100%,0%,0%,0%,0%,False,-23.52745,-46.68314
/Attraction_Review-g303631-d8460168-Reviews-Zipper_Galeria-Sao_Paulo_State_of_Sao_Paulo.html,Zipper Galeria,Galerias de arte,"Rua Estados Unidos 1494, São Paulo, Estado de São Paulo 01427-001, Brasil",Seg - Sex,10:00 - 19:00,32.0,"5,0",82%,12%,6%,0%,0%,False,-23.56679,-46.66861
/Attraction_Review-g303631-d13336964-Reviews-Mercado_Municipal_Kinjo_Yamato-Sao_Paulo_State_of_Sao_Paulo.html,Mercado Municipal Kinjo Yamato,Feiras livres,"Rua da Cantareira 377, São Paulo, Estado de São Paulo 01024-100, Brasil",,,7.0,"4,0",44%,28%,14%,14%,0%,False,-23.54094,-46.62978
/Attraction_Review-g303631-d10669948-Reviews-Cantareira_Norte_Shopping-Sao_Paulo_State_of_Sao_Paulo.html,Cantareira Norte Shopping,Shopping centers,"Av. Raimundo Pereira de Magalhães, 11001 | Parada de Taipas, São Paulo, Estado de São Paulo 02984-035, Brasil",Dom,11:00 - 22:00,23.0,"4,0",40%,26%,21%,13%,0%,False,0.0,0.0
/Attraction_Review-g303631-d9882682-Reviews-Praca_Franklin_Roosevelt-Sao_Paulo_State_of_Sao_Paulo.html,Praça Franklin Roosevelt,Pontos de interesse,"São Paulo, Estado de São Paulo 01303-020, Brasil",,,34.0,"4,0",26%,47%,20%,2%,5%,False,-23.20497,-47.30416
/Attraction_Review-g303631-d8376713-Reviews-Catedral_Anglicana_de_Sao_Paulo-Sao_Paulo_State_of_Sao_Paulo.html,Catedral Anglicana de São Paulo,Locais religiosos e sagrados,"Rua Comendador Elias Zarzur 1.239 | Santo Amaro, São Paulo, Estado de São Paulo 04736-000, Brasil",,,31.0,"4,5",68%,32%,0%,0%,0%,False,-23.6503,-46.70113
/Attraction_Review-g303631-d11019349-Reviews-Shopping_25-Sao_Paulo_State_of_Sao_Paulo.html,Shopping 25,Shopping centers,"Rua 25 de Março, 1081, São Paulo, Estado de São Paulo 01021-200, Brasil",,,21.0,"3,5",9%,40%,33%,9%,9%,False,-23.53978,-46.63205
/Attraction_Review-g303631-d8002275-Reviews-Mesquita_Brasil-Sao_Paulo_State_of_Sao_Paulo.html,Mesquita Brasil,Locais religiosos e sagrados,"Rua Barao de Jaguara 630, São Paulo, Estado de São Paulo 01520-010, Brasil",,,6.0,"5,0",84%,16%,0%,0%,0%,False,-23.55841,-46.61814
/Attraction_Review-g303631-d10396527-Reviews-Q_Bazar-Sao_Paulo_State_of_Sao_Paulo.html,Q!Bazar,Lojas outlet,"Avenida Cidade Jardim 691 | Jardim Paulistano, São Paulo, Estado de São Paulo 01453-000, Brasil",,,7.0,"4,0",28%,28%,44%,0%,0%,False,-21.99777,-47.89891
/Attraction_Review-g303631-d11918784-Reviews-Palacio_da_Justica-Sao_Paulo_State_of_Sao_Paulo.html,Palácio da Justiça,Pontos de interesse,"Rua Onze de Agosto, s/n | Praça da Sé, São Paulo, Estado de São Paulo 01018-010, Brasil",,,7.0,"4,5",72%,28%,0%,0%,0%,False,-23.55218,-46.63398
/Attraction_Review-g303631-d13125048-Reviews-Escadaria_do_Patapio-Sao_Paulo_State_of_Sao_Paulo.html,Escadaria do Patapio,Pontos de interesse,"Rua Medeiros de Albuquerque 250 | Vila Madalena, São Paulo, Estado de São Paulo 05436-060, Brasil",Dom - Sáb,00:00 - 23:59,19.0,"3,5",5%,36%,54%,5%,0%,False,-23.55554,-46.68564
/Attraction_Review-g303631-d10529746-Reviews-Seara_Bendita_Instituicao_Espirita-Sao_Paulo_State_of_Sao_Paulo.html,Seara Bendita Instituição Espirita,Pontos de interesse,"R. Demóstenes, 834 - Campo Belo | Travessa da Avenida Vereador José Diniz, São Paulo, Estado de São Paulo 04614-014, Brasil",,,7.0,"4,5",58%,42%,0%,0%,0%,False,0.0,0.0
/Attraction_Review-g303631-d4377496-Reviews-Museu_da_Diversidade_Sexual-Sao_Paulo_State_of_Sao_Paulo.html,Museu da Diversidade Sexual,Museus especializados,"Rua do Arouche, 24 - Praça da República, São Paulo, Estado de São Paulo 1045000, Brasil",,,67.0,"4,0",51%,34%,11%,2%,2%,False,-23.54326,-46.64387
/Attraction_Review-g303631-d4127411-Reviews-SESC_Ipiranga_Theater-Sao_Paulo_State_of_Sao_Paulo.html,Teatro SESC - Ipiranga,Teatros,"Rua Bom Pastor, 822 | Ipiranga, São Paulo, Estado de São Paulo 04203-000, Brasil",Ter - Dom,07:00 - 20:00,61.0,"4,0",40%,45%,13%,1%,1%,False,-23.5839,-46.60784
/Attraction_Review-g303631-d4377506-Reviews-Museum_of_the_Court_of_Justice-Sao_Paulo_State_of_Sao_Paulo.html,Museu do Tribunal de Justiça,Museus especializados,"Rua Conde de Sarzedas 100 | Centro, São Paulo, Estado de São Paulo 01512-000, Brasil",,,16.0,"4,0",37%,45%,12%,6%,0%,False,-23.55371,-46.63235
/Attraction_Review-g303631-d6474545-Reviews-Parque_Belem-Sao_Paulo_State_of_Sao_Paulo.html,Parque Belém,Parques públicos,"Av. Celso Garcia, 2230, São Paulo, Estado de São Paulo 03014-000, Brasil",Dom - Sáb,06:00 - 18:00,32.0,"3,5",12%,48%,34%,6%,0%,False,-23.53691,-46.59054
/Attraction_Review-g303631-d8838844-Reviews-Basilica_Nossa_Senhora_do_Carmo-Sao_Paulo_State_of_Sao_Paulo.html,Basilica Nossa Senhora do Carmo,Igrejas e catedrais,"Rua Martiniano de Carvalho 114, São Paulo, Estado de São Paulo 01321-000, Brasil",,,16.0,"5,0",82%,12%,6%,0%,0%,False,-23.55979,-46.64129
/Attraction_Review-g303631-d8600360-Reviews-Elevado_Presidente_Costa_e_Silva-Sao_Paulo_State_of_Sao_Paulo.html,Elevado Presidente Costa e Silva,Pistas e trilhas para corrida,"Via Elevado Presidente Artur da Costa e Silva, São Paulo, Estado de São Paulo, Brasil",Dom,01:00 - 00:00,33.0,"4,0",27%,46%,21%,6%,0%,False,-23.53958,-46.64804
/Attraction_Review-g303631-d13003451-Reviews-Feira_do_Pacaembu-Sao_Paulo_State_of_Sao_Paulo.html,Feira do Pacaembu,Feiras e mercados de pulgas,"Praça Charles Miller S/n, São Paulo, Estado de São Paulo 01234-010, Brasil",,,6.0,"4,0",0%,84%,16%,0%,0%,False,-23.54495,-46.6658
/Attraction_Review-g303631-d4221222-Reviews-BMFBovespa_Espaco_Raymundo_Magliano_Filho-Sao_Paulo_State_of_Sao_Paulo.html,Espaço Raymundo Magliano Filho,Pontos de interesse,"Rua Quinze de Novembro 275 | Térreo, São Paulo, Estado de São Paulo 01013-906, Brasil",,,16.0,"4,5",45%,37%,18%,0%,0%,False,-23.44426,-46.91596
/Attraction_Review-g303631-d2350281-Reviews-Priest_Anchieta_Museum-Sao_Paulo_State_of_Sao_Paulo.html,Museu Padre Achieta,Museus especializados,"Praça Pateo do Collegio, 2 | Centro, São Paulo, Estado de São Paulo 01016-040, Brasil",,,93.0,"4,0",34%,40%,22%,4%,0%,False,-23.54896,-46.63327
/Attraction_Review-g303631-d4127446-Reviews-Biblioteca_Monteiro_Lobato-Sao_Paulo_State_of_Sao_Paulo.html,Biblioteca Monteiro Lobato,Bibliotecas,"Rua General Jardim 485 | Vila Buarque, São Paulo, Estado de São Paulo 01223-011, Brasil",Dom,10:00 - 14:00,21.0,"4,5",63%,28%,9%,0%,0%,False,-23.54457,-46.65022
